,summarization
1069,"the well located Hotel Palace Heights is a Delhi oasis. The rooms are exceptionally clean and well thought out, and they are well deocrated and all the things that you would expect from an excellent hotel have been considered such as good room service and wireless and various complimentary touches. the staff are exceptional and the service was excellent and attentive in all respects."
1070,"the hotel is small but great, in a very central location in Delhi. the restaurant was also great - I highly recommend it."
1071,"the hotel staff are very helpful and their english is excellent. we had arrived in india with only 3 of our 21 nights with a hotel booking, and the reception staff recommended an agent - Perfect Holidays, he organised the next 8 nights for us including internal flights, accommodation and driver. the room was very clean as was the bathroom with all the usual trimmings."
1072,"this is definitely one hotel I would recommend people stay at, everytime you visit delhi. they have an excellent restaurant attached, and althou living in the UAE gives you access to great indian food - it is truly authentic. the staff, right from their manager to the various service attendants are so polite, its ridiculous."
1073,"airconditioning functioned well, safe, upon arrival complementary fruit basket (1 apple, 1 orange, 2 bananas and 2 chocolate biscuits) the food was absolutely delicious, delicately spiced, and not too hot."
1074,"the hotel is on the first floor (there is a lift) which means the rooms are quiet, and its location on Connaught Square is excellent. from the doorman downstairs who loaded our luggage into the lift and whisked us up to reception, to the smiling receptionist and waiters in the restaurant - nothing was too much trouble. every member of staff was eager to please. I can highly recommend the Palace Heights as great value for money."
1075,"the hotel is an example of successful adaptive re-used building. the location is just perfect, in the center of CP and just a minute walk to fabIndia.I loved the room - minimalist, simple and very clean. from receptionist to restaurant, from housekeeper to general manager! they are doing their best to help me and make sure my stay is incredible."
1076,"the hotel is located in a good part of New Delhi. hotel staff are extremely helpful and friendly, rooms are very clean and modern. the restaurant is excellent."
1077,"the staff is extremely friendly and helpful, with good recommendations for restaurants in the area. the included fruits, water and breakfast help you get your day off to a good start easily with no hassle."
1078,the hotel was a real haven away from the bustle of Connaught Place and the food in the Zaffran restaurant was really good and service was also excellent. my husband and I stayed at the Palace Heights at our start of our Indian holiday in November. we had arranged an airport pick up with them which sadly wasn't there when we landed. on arrival they got us an welcome drink and told us our room would be ready in 20 minutes.
